timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,
38.218000000,0.993047,-1.25039,1.0013,-9.31181,-13.9137,5.56113,12.8089,-5.46223,1.59295,14.2203,-2.90352,-1.35052,-10.2603,-11.5861,0.309114,1.8288,
38.260000000,1.09464,-1.25592,1.08105,-9.63574,-14.1626,5.63957,13.0094,-5.49662,1.69646,14.381,-2.95298,-1.36281,-10.5039,-11.8519,0.362349,1.89511,
38.310000000,1.15765,-1.26031,1.12504,-9.81258,-14.3774,5.7082,13.1717,-5.52355,1.89059,14.6638,-3.08112,-1.39403,-10.6344,-11.9928,0.40688,1.95144,
38.362000000,1.29426,-1.27229,1.17436,-10.0093,-14.8566,5.86605,13.5441,-5.58174,1.98752,14.7961,-3.20887,-1.42427,-10.7702,-12.1382,0.50528,2.0788,
38.420000000,1.3602,-1.27925,1.26819,-10.3789,-15.2985,6.02037,13.7213,-5.60741,2.22579,15.097,-3.28629,-1.44215,-11.0273,-12.4097,0.559136,2.15023,
38.476000000,1.50266,-1.2968,1.36492,-10.7532,-15.4745,6.08534,14.077,-5.65412,2.34111,15.2308,-3.43608,-1.47577,-11.2753,-12.6659,0.664044,2.29297,
38.532000000,1.57118,-1.30643,1.40678,-10.913,-15.8905,6.25091,14.2284,-5.67176,2.57018,15.4753,-3.5039,-1.49055,-11.413,-12.8054,0.777913,2.45352,
38.586000000,1.71867,-1.3297,1.50355,-11.2772,-16.0429,6.31742,14.5756,-5.70622,2.69008,15.5931,-3.66351,-1.52425,-11.541,-12.9332,0.83172,2.5315,
38.644000000,1.81026,-1.34583,1.55316,-11.4611,-16.3473,6.4642,14.7205,-5.71782,2.93351,15.8133,-3.74689,-1.54124,-11.8084,-13.1932,0.941802,2.6955,
38.712000000,1.95792,-1.37445,1.64431,-11.7938,-16.5946,6.60332,14.9899,-5.73444,3.14224,15.9846,-3.90281,-1.57185,-12.021,-13.3926,1.00089,2.78611,
38.778000000,2.10327,-1.40569,1.73242,-12.1089,-16.7933,6.73532,15.2439,-5.74347,3.34712,16.1393,-4.05691,-1.60062,-12.2195,-13.5723,1.10334,2.94772,
38.844000000,2.2544,-1.44131,1.8225,-12.4243,-16.9603,6.86822,15.49,-5.74524,3.55339,16.2832,-4.22252,-1.62993,-12.4163,-13.7432,1.20997,3.12237,
38.910000000,2.40656,-1.48036,1.90674,-12.713,-17.0919,6.99467,15.7027,-5.7405,3.74877,16.4095,-4.38088,-1.65645,-12.616,-13.9087,1.30331,3.28098,
38.978000000,2.55925,-1.52272,1.99267,-13.0011,-17.1542,7.06427,15.9153,-5.72926,3.9443,16.5266,-4.54546,-1.68257,-12.7968,-14.0509,1.39743,3.44672,
39.044000000,2.71201,-1.56821,2.08506,-13.3038,-17.2457,7.18345,16.1096,-5.71265,4.13916,16.6345,-4.72546,-1.70959,-12.9801,-14.1868,1.49717,3.62924,
39.110000000,2.86435,-1.61667,2.17367,-13.5869,-17.3201,7.30408,16.3027,-5.68946,4.22366,16.6785,-4.8872,-1.73266,-13.0588,-14.2424,1.57831,3.78348,
39.176000000,2.94671,-1.64415,2.21746,-13.7242,-17.3772,7.42606,16.4685,-5.66362,4.40391,16.7668,-5.04436,-1.75416,-13.2301,-14.3573,1.66202,3.94857,
39.236000000,3.09747,-1.69678,2.30629,-13.9975,-17.4181,7.55611,16.5499,-5.64875,4.58751,16.8487,-5.12524,-1.76493,-13.3844,-14.453,1.74996,4.12924,
39.288000000,3.2466,-1.75184,2.35126,-14.133,-17.429,7.61015,16.7133,-5.61408,4.67903,16.8865,-5.28653,-1.78594,-13.54,-14.5413,1.79018,4.2146,
39.338000000,3.3183,-1.7794,2.42363,-14.3471,-17.4403,7.72369,16.7863,-5.59633,4.84272,16.9488,-5.3668,-1.79622,-13.6025,-14.5742,1.86798,4.38513,
39.392000000,3.46002,-1.83598,2.50606,-14.5847,-17.44,7.7864,16.9364,-5.55499,4.91998,16.9758,-5.51693,-1.81525,-13.7429,-14.6427,1.9055,4.47015,
39.448000000,3.53812,-1.8684,2.54435,-14.6927,-17.4278,7.90385,16.9937,-5.53727,5.0875,17.0291,-5.68845,-1.83684,-13.8085,-14.6718,1.97771,4.63942,
39.516000000,3.68366,-1.9312,2.62628,-14.9187,-17.4035,8.01644,17.1305,-5.49021,5.23565,17.0701,-5.77546,-1.84782,-13.9489,-14.7276,2.05184,4.82195,
39.584000000,3.82176,-1.99382,2.69978,-15.1153,-17.3698,8.12754,17.2458,-5.44449,5.37817,17.104,-5.93352,-1.86792,-14.0741,-14.7692,2.11754,4.99244,
39.652000000,3.95619,-2.05772,2.77571,-15.312,-17.329,8.23722,17.3455,-5.39965,5.51533,17.1314,-6.08834,-1.88798,-14.1887,-14.7999,2.17882,5.16034,
39.716000000,4.07562,-2.11707,2.84152,-15.4771,-17.2858,8.33939,17.4396,-5.35202,5.64372,17.1524,-6.23953,-1.90812,-14.2874,-14.82,2.20371,5.2314,
39.774000000,4.18795,-2.17525,2.91169,-15.6472,-17.2678,8.37932,17.5205,-5.30613,5.69527,17.1596,-6.37015,-1.92608,-14.389,-14.8338,2.26004,5.3995,
39.840000000,4.31059,-2.24155,2.95092,-15.7396,-17.2138,8.49203,17.601,-5.25503,5.82803,17.1746,-6.50964,-1.94599,-14.4333,-14.8375,2.31154,5.56388,
39.906000000,4.42857,-2.3083,3.01803,-15.8931,-17.1598,8.59741,17.6736,-5.20325,5.94244,17.1838,-6.65281,-1.96738,-14.5279,-14.8402,2.35449,5.71101,
39.976000000,4.4906,-2.37911,3.08681,-16.0443,-17.0979,8.71059,17.7422,-5.14804,6.06991,17.1898,-6.79864,-1.99036,-14.6183,-14.8355,2.39891,5.87592,
40.046000000,4.6072,-2.41551,3.14624,-16.1697,-17.0365,8.81674,17.7712,-5.12258,6.19324,17.1915,-6.86946,-2.00202,-14.6996,-14.8243,2.43793,6.03571,
40.108000000,4.71225,-2.48246,3.21242,-16.3034,-16.9758,8.91612,17.8288,-5.0671,6.30349,17.1898,-7.00321,-2.02508,-14.7807,-14.8056,2.45542,6.11359,
40.178000000,4.81208,-2.54914,3.26793,-16.4106,-16.9089,9.02057,17.8756,-5.01616,6.41691,17.1851,-7.12117,-2.0467,-14.8455,-14.7844,2.48491,6.25735,
40.246000000,4.90922,-2.61724,3.32802,-16.5213,-16.8351,9.13007,17.9204,-4.96096,6.51563,17.1787,-7.24079,-2.07,-14.91,-14.7568,2.51027,6.39975,
40.312000000,4.99327,-2.67906,3.38124,-16.6145,-16.7991,9.18169,17.9562,-4.91058,6.5715,17.1743,-7.36108,-2.09504,-14.9656,-14.727,2.5297,6.52928,
40.378000000,5.07484,-2.74202,3.43554,-16.7047,-16.7271,9.28166,17.9883,-4.85916,6.67276,17.1648,-7.45465,-2.11575,-14.9951,-14.7085,2.54475,6.65365,
40.444000000,5.15784,-2.80953,3.4619,-16.7467,-16.655,9.37826,18.0158,-4.80828,6.76643,17.1546,-7.55542,-2.13941,-15.04,-14.6761,2.55548,6.77278,
